keyword,volume,kd,cpc_low,cpc_high,funnel,intent,trend,peak_months,ai_overview_prone,flags
washing machine repair service in dubai,10,13,0.0,0.0,BOFU,transactional,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,local
hisense washing machine not spinning,10,8,0.0,0.0,MOFU,commercial,GROWING,Jul/Aug/Oct/Nov/Dec/Jan/Feb/Apr/May/Jun,False,
washing machine repair dubai al nahda,10,14,0.0,0.0,BOFU,transactional,SEASONAL,Jun,False,local
washing machine pipe leaking,10,0,0.0,0.0,MOFU,commercial,GROWING,Nov/Jun,False,
washer pipe leaking,10,0,0.0,0.0,MOFU,commercial,GROWING,Nov/Jun,False,
samsung washer leaking from door,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Oct/Nov/Jan/Feb/May/Jun,False,
samsung washing machine leaking from door,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Oct/Nov/Jan/Feb/May/Jun,False,
samsung washer leaks from door,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Oct/Nov/Jan/Feb/May/Jun,False,
samsung washing machine bottom,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Jan/Apr/May/Jun,False,
samsung washing machine door leaking,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Oct/Nov/Jan/Feb/May/Jun,False,
samsung washing machine not rotating,10,0,0.0,0.0,MOFU,commercial,GROWING,Jul/Dec/Jan/Feb/Apr/Jun,False,
washing machine spigot leaking,10,0,0.0,0.0,MOFU,commercial,GROWING,Apr/Jun,False,
washing machine water pipe leaking,10,0,0.0,0.0,MOFU,commercial,GROWING,Nov/Jun,False,
whirlpool washing machine repair dubai,10,16,0.0,0.0,BOFU,transactional,SEASONAL,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Apr/May/Jun,False,local
reason for washing machine not spinning,10,17,0.0,0.0,MOFU,commercial,GROWING,Jul/Dec/Jan/Feb/Apr/Jun,False,
washing machine hose leaking,10,20,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer hose leaking,10,20,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
leak from washing machine hose,10,20,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer line leaking,10,20,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washing machine water hose leaking,10,20,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
problems with lg washers,10,4,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washing machine repair dubai al qusais,10,70,418.01,1175.03,BOFU,transactional,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,local
lg washer leaking,10,26,0.0,0.0,MOFU,commercial,GROWING,Sep/Jan/Mar/Apr/May/Jun,False,
lg washing machine leaking,10,26,0.0,0.0,MOFU,commercial,GROWING,Sep/Jan/Mar/Apr/May/Jun,False,
front load washing machine not spinning,10,26,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Mar/Apr/May/Jun,False,
front load washer not spinning,10,26,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Mar/Apr/May/Jun,False,
top load washing machine drum not spinning,10,26,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
front load washer does not spin,10,26,0.0,0.0,MOFU,commercial,GROWING,Aug/Sep/Oct/Nov/Dec/Jan/Mar/Apr/May/Jun,False,
lg clothes washer leaking,10,26,0.0,0.0,MOFU,commercial,GROWING,Sep/Jan/Mar/Apr/May/Jun,False,
bompani washing machine repair dubai,10,0,0.0,0.0,BOFU,transactional,SEASONAL,Jul/Nov/Dec/Mar,False,local
samsung washing machine drum not rotating,10,13,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
samsung washer leaking,10,29,0.0,0.0,MOFU,commercial,GROWING,Aug/Oct/Nov/Jan/Mar/Apr/Jun,False,
samsung washing machine leaking,10,29,0.0,0.0,MOFU,commercial,GROWING,Aug/Oct/Nov/Jan/Mar/Apr/Jun,False,
samsung washer not spinning,10,14,0.0,0.0,MOFU,commercial,STABLE,Jan,False,
samsung washing machine not spinning,10,14,0.0,0.0,MOFU,commercial,STABLE,Jan,False,
samsung washer will not spin,10,14,0.0,0.0,MOFU,commercial,STABLE,Jan,False,
samsung washer does not spin,10,14,0.0,0.0,MOFU,commercial,STABLE,Jan,False,
samsung washing machine will not spin,10,14,0.0,0.0,MOFU,commercial,STABLE,Jan,False,
midea washing machine not spinning,10,0,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Dec/Jan/Apr/May,False,
samsung front load washing machine drum not rotating,10,0,0.0,0.0,MOFU,commercial,GROWING,Aug/Nov/Jan/Apr/May,False,
samsung washing machine does not spin,10,14,0.0,0.0,MOFU,commercial,STABLE,Jan,False,
samsung washing machine no spin,10,14,0.0,0.0,MOFU,commercial,STABLE,Jan,False,
samsung washing not spinning,10,14,0.0,0.0,MOFU,commercial,STABLE,Jan,False,
samsung washer doesn t spin,10,8,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Dec/Jun,False,
samsung washing machine doesn t spin,10,8,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Dec/Jun,False,
samsung washer doesnt spin,10,8,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Dec/Jun,False,
washing machine drum not rotating,10,16,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
candy washing machine repair dubai,10,52,0.0,0.0,BOFU,transactional,GROWING,Jul/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,local
washing machine repair dubai al barsha,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Oct/Jan,False,local
lg washing machine water leaking from bottom,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Sep/Nov/Dec/Jan/Mar/Apr/May/Jun,False,
washer flooding,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer drain hose leaking,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/Mar/Apr/Jun,False,
defy tumble dryer not heating up,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Oct/Nov/Feb/Mar/Jun,False,
washing machine drain hose leaking,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/Mar/Apr/Jun,False,
samsung washing machine leaking from bottom during spin cycle,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Jan/Jun,False,
tumble dryer not heating up,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Jan/May/Jun,False,
washing machine flooding,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
lg washing machine water leak from bottom,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Sep/Nov/Dec/Jan/Mar/Apr/May/Jun,False,
samsung washer spin issues,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/May/Jun,False,
samsung washer spin problem,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/May/Jun,False,
samsung washing machine spin problem,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/May/Jun,False,
samsung washing machine wont start,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Nov/Feb/Jun,False,
slow spin washing machine,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Dec/Jan/Mar/Jun,False,
spin function washing machine,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Oct/Nov/Dec/Jan/Feb/May/Jun,False,
tumble dryer does not heat up,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Jan/May/Jun,False,
washer spinning slow,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Dec/Jan/Mar/Jun,False,
water leaking under the washing machine,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Jan/Jun,False,
washing machine drum not turning,10,34,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Dec/Jan/Mar/May/Jun,False,
washing machine leaking from door,10,34,0.0,0.0,MOFU,commercial,GROWING,Jul/Aug/Oct/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
daewoo washing machine not spinning,10,34,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Mar/May/Jun,False,
washer leaking from door,10,34,0.0,0.0,MOFU,commercial,GROWING,Jul/Aug/Oct/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
leaking washing machine door,10,34,0.0,0.0,MOFU,commercial,GROWING,Jul/Aug/Oct/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
samsung washing machine troubleshoot,10,20,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer leaking from drain pipe,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
washer drain pipe leaking,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
washing machine drainage pipe leaking,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
leaking washing machine drain pipe,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
washer drain leak,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
washing machine drain leak,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
washing machine leaking from drain pipe,10,14,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Dec/Mar/May/Jun,False,
samsung top load washer problems,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Mar/Jun,False,
samsung washer stopped spinning,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Jul/Jun,False,
washing machine filter leaking water,10,8,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Jun,False,
washing machine leaking water from bottom,10,22,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer leaking water from bottom,10,22,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
bottom of washer leaking water,10,22,0.0,0.0,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
top loading washing machine leaking from bottom,10,37,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Dec/Jan/Apr/Jun,False,
top load washer leaking from bottom,10,37,0.0,0.0,MOFU,commercial,GROWING,Sep/Nov/Dec/Jan/Apr/Jun,False,
candy washing machine not spinning,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Oct/Jan/Apr/Jun,False,
twin tub washing machine spinner not working,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Apr/Jun,False,
if washing machine is not spinning,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Nov/Jan/May/Jun,False,
washer motor not working,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Nov/Dec/Mar/Apr/Jun,False,
washing machine drum not turning by hand,10,17,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Nov/Feb/Jun,False,
washer not draining and spinning,10,23,0.0,0.0,MOFU,commercial,STABLE,Feb,False,
washer will not drain and spin,10,23,0.0,0.0,MOFU,commercial,STABLE,Feb,False,
washer won t drain and spin,10,23,0.0,0.0,MOFU,commercial,STABLE,Feb,False,
washer wont drain and spin,10,23,0.0,0.0,MOFU,commercial,STABLE,Feb,False,
washing machine will not drain and spin,10,23,0.0,0.0,MOFU,commercial,STABLE,Feb,True,voice
washer not spinning clothes dry,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
lg washing machine drum not rotating,10,38,0.0,0.0,MOFU,commercial,GROWING,Jul/Oct/Nov/Jan/Feb/Mar/Apr/May/Jun,False,
causes of washing machine not draining,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
lg automatic washing machine not draining,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
lg top load washing machine drum not rotating,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
my lg front load washer is leaking,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,True,voice
panasonic automatic washing machine not spinning,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Dec/Jun,False,
samsung ecobubble drum not turning,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
samsung washing machine won t finish spin cycle,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
wash machine not spinning clothes dry,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
washer does not spin clothes dry,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
washer keeps running water,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
washer leaks water all over the floor,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Jun,False,
washer not drying clothes,10,78,1027.63,1890.84,MOFU,commercial,GROWING,Jul/Aug/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer will not spin clothes dry,10,0,0.0,0.0,MOFU,commercial,UNKNOWN,Apr/Jun,False,
daewoo washing machine dubai,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Sep/Nov/Dec/Jan/Apr,False,local
samsung washing machine service centre dubai,10,47,0.0,0.0,BOFU,transactional,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,local
front load washer leaking,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Jun,False,
front load washer leaking from front,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Jun,False,
front load washing machine leak,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Jun,False,
washer leaking from front,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Jun,False,
washing machine leaking front loader,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Feb/Jun,False,
washing machine not stopping water,10,22,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Dec/Mar/Jun,False,
fix washing machine not spinning,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Nov/Feb,False,
washing machine technician dubai,10,90,1272.7,3714.1,MOFU,commercial,GROWING,Jul/Sep/Oct/Nov/Dec/Jan/Mar/Apr/May/Jun,False,local
fix a washer that won t spin,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Sep,False,
fix a washing machine that won t spin,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Sep,False,
fix washer not spinning,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Nov/Feb,False,
washing machine not spinning how to fix,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Aug/Dec,True,voice
washing machine repair not spinning,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Nov/Feb,False,
washing machine repair water leaking,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Jan,False,
washing machine spin repair,10,0,0.0,0.0,BOFU,transactional,UNKNOWN,Mar,False,
washing machine won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer does not spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
bosch washing machine drum not turning,10,17,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Jun,False,
my washing machine stopped working,10,43,0.0,0.0,MOFU,commercial,GROWING,Jul/Aug/Nov/Dec/Feb/Apr/May/Jun,False,
bosch washer drum not turning,10,17,0.0,0.0,MOFU,commercial,UNKNOWN,Sep/Jun,False,
clothes washer won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
laundry machine won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washer that won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washing machine can t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washing machine that won t spin,10,43,0.0,0.0,MOFU,commercial,GROWING,Aug/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
lg washing machine leaking from bottom,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Jan/Feb/Mar/Apr/May/Jun,False,
washing machine spinner not working,10,71,619.91,1817.51,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
samsung washing machine spin not working,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Jan/Feb/Mar/Apr/Jun,False,
samsung washer spin not working,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Sep/Oct/Jan/Feb/Mar/Apr/Jun,False,
lg washer leak from bottom,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Jan/Feb/Mar/Apr/May/Jun,False,
lg washing machine leaks from bottom,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Sep/Oct/Jan/Feb/Mar/Apr/May/Jun,False,
spin is not working on washing machine,10,71,619.91,1817.51,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,True,voice
washer spin not working,10,71,619.91,1817.51,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washing machine drum hard to turn by hand,10,26,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Dec/Jan/Jun,False,
daewoo washing machine repair dubai,10,93,2242.79,4300.85,BOFU,transactional,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,local
washing machine maintenance dubai,10,94,2361.13,4732.0,BOFU,transactional,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,local
super general washing machine not spinning,10,74,470.19,1209.03,MOFU,commercial,STABLE,Jul/Aug/Sep/Oct/Nov/Dec/Jan/Feb/Mar/Apr/May/Jun,False,
washing machine sensor not working,10,47,0.0,0.0,MOFU,commercial,GROWING,Jul/Sep/Oct/Nov/Dec/Apr/May/Jun,False,
lg washer leaking from bottom,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Mar/Apr,False,
washing machine not spinning properly,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Dec/Mar/May,False,
hotpoint washing machine not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Nov/Dec,False,
hotpoint washer not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Nov/Dec,False,
indesit washing machine not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Dec/Jan/Mar/May,False,
samsung machine not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Nov/Dec/Jan/Mar,False,
electrolux washing machine not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Jan/May,False,
electrolux washer not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Jan/May,False,
washer leaking water on floor,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Mar/Apr/May,False,
panasonic washing machine not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Oct/Nov/Jan/Feb/May,False,
portable washing machine not working,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Nov/Jan/Mar,False,
lg washer leaking from door,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Apr/May,False,
haier washing machine not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/May,False,
lg washing machine leaking from door,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Apr/May,False,
candy washing machine drum not turning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Dec/Feb/Apr,False,
washer not spinning properly,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Oct/Nov/Dec/Mar/May,False,
whirlpool washer drum not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Nov/Jan,False,
washing machine dripping inside,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Apr/May,False,
washing machine leaking inside,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Aug/Apr/May,False,
ariston washing machine not spinning,10,30,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Oct/Nov/Jan/Jun,False,
bosch washing machine drum not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/Feb,False,
candy washing machine not spinning fast,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/Apr,False,
clothes still wet after spin cycle,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Nov/Dec,False,
clothes washer leaking water on floor,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Mar/Apr/May,False,
front load washing machine water leak,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Nov/Jan/May,False,
haier washing machine won t spin,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Oct/Dec/May,False,
hoover machine not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jan/Apr/May,False,
hoover washing machine leaking water underneath,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Aug/Feb/May,False,
indesit washer not spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Dec/Jan/Mar/May,False,
indesit washing machine will not spin,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Dec/Jan/Mar/May,False,
lg washer not spinning properly,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Nov/May,False,
lg washing machine not spinning properly,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Nov/May,False,
my washer quit spinning,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Dec/Feb/Mar,False,
no spin in washing machine means,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Jul/Nov/Jan/May,False,
reason for water leakage in washing machine,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Dec/Jan/Apr,False,
samsung washer leaking from front,10,0,0.0,0.0,MOFU,commercial,SEASONAL,Sep/Dec/Jan,False,
